tractID,MailReturnRateCen2010
25001010100,99999.0
25001010206,99999.0
25001010208,99999.0
25001010304,99999.0
25001010306,99999.0
25001010400,70.1
25001010500,74.7
25001010600,99999.0
25001010700,99999.0
25001010800,86.7
25001010900,85.8
25001011002,100.0
25001011100,66.7
25001011200,99999.0
25001011300,91.4
25001011400,93.2
25001011500,88.6
25001011600,81.4
25001011700,86.1
25001011801,93.0
25001011802,86.2
25001012001,89.7
25001012002,83.2
25001012101,85.7
25001012102,82.8
25001012200,90.1
25001012502,76.0
25001012601,82.2
25001012602,76.3
25001012700,83.7
25001012800,88.3
25001012900,83.7
25001013002,88.7
25001013100,83.6
25001013200,88.7
25001013300,87.5
25001013400,91.1
25001013500,85.5
25001013600,81.7
25001013700,84.8
25001013800,76.0
25001013900,88.5
25001014002,88.5
25001014100,80.1
25001014300,89.3
25001014402,87.5
25001014500,85.7
25001014600,87.0
25001014700,87.8
25001014800,83.5
25001014900,88.7
25001015001,87.2
25001015002,86.4
25001015100,88.2
25001015200,92.7
25001015300,66.1
25001990000,99999.0
25003900100,76.6
25003900200,75.6
25003900300,81.5
25003900400,81.6
25003900500,89.3
25003900600,73.8
25003900700,86.6
25003900800,91.1
25003900900,79.1
25003901100,90.9
25003911100,85.5
25003912100,88.4
25003913100,90.4
25003914100,88.7
25003920101,88.0
25003920102,93.2
25003921300,84.9
25003921400,87.7
25003921500,83.7
25003922100,83.5
25003922200,82.9
25003922300,86.4
25003923100,90.3
25003924100,83.6
25003925100,82.8
25003926100,85.7
25003931100,88.0
25003931300,85.4
25003931400,84.9
25003932200,92.3
25003932300,83.6
25003933200,86.1
25003933300,84.3
25003933400,83.5
25003934200,84.9
25003934300,89.1
25003935100,87.0
25003935200,86.4
25003935300,86.5
25005600100,82.4
25005600202,80.4
25005600203,85.9
25005600204,81.4
25005610100,74.5
25005610202,84.8
25005610203,87.4
25005610204,80.5
25005611101,81.3
25005611102,81.8
25005611201,81.8
25005611202,83.2
25005612100,79.9
25005612200,78.2
25005613100,76.8
25005613300,78.9
25005613400,74.3
25005613600,70.2
25005613700,65.3
25005613800,61.9
25005613901,66.8
25005613902,71.6
25005614000,68.7
25005614101,71.8
25005614102,76.2
25005615100,81.8
25005616100,82.9
25005617101,83.1
25005617102,83.4
25005630101,71.9
25005630102,75.6
25005630200,86.5
25005630300,84.4
25005630400,82.8
25005631100,80.8
25005631200,83.5
25005631300,78.6
25005631400,70.2
