tractID,"Total Households","MOE Total Households",hascomp,HasCompMOE
25001010100,1760,126,84.8,6.4
25001010206,1584,176,86.4,5.7
25001010208,641,129,89.4,7.8
25001010304,1137,140,91.6,6.2
25001010306,1234,134,94.2,4.7
25001010400,1443,163,91.6,4.6
25001010500,1387,169,85.1,6.9
25001010600,1438,128,89.9,4.2
25001010700,1419,159,94.4,3.4
25001010800,2160,180,96.4,2
25001010900,2122,162,93.9,3
25001011002,1680,140,92.7,4.2
25001011100,2134,189,96.1,2
25001011200,1684,149,92.2,2.3
25001011300,1271,130,91,5
25001011400,1430,141,88.5,6
25001011500,1766,153,93.3,3.1
25001011600,1431,136,84,6.2
25001011700,937,113,92.3,3.9
25001011801,1296,100,86,5
25001011802,1728,134,92.9,3.3
25001012001,2492,170,90.8,4
25001012002,1345,128,87.2,5.6
25001012101,2249,178,94.8,4.4
25001012102,1418,147,81.9,4.9
25001012200,1945,179,95.4,2.9
25001012502,1536,172,85.4,7.2
25001012601,1213,88,89,5.2
25001012602,1949,151,97.8,2.1
25001012700,1862,181,97.7,2.1
25001012800,1709,149,96.1,2.2
25001012900,1661,103,93,2.9
25001013002,1326,134,94.3,3.5
25001013100,2274,149,96.9,3
25001013200,1993,196,93.4,5.5
25001013300,1370,121,94.6,3.1
25001013400,1554,139,95.6,2.9
25001013500,2654,152,96.7,2.1
25001013600,2246,158,95.3,3.1
25001013700,1975,167,89.6,4.4
25001013800,1953,162,95,3.4
25001013900,2271,220,91.8,4.7
25001014002,2007,147,88.7,4.7
25001014100,286,64,96.9,5.1
25001014300,1692,202,94.6,5.1
25001014402,2488,164,95,3.4
25001014500,2076,175,90.8,3.6
25001014600,1903,161,95.8,2.7
25001014700,1613,132,91.3,3.8
25001014800,2011,148,76.7,5.1
25001014900,1758,171,91.6,3.5
25001015001,1664,125,94.1,3.5
25001015002,2005,160,89.8,4.3
25001015100,1518,126,92.3,3.7
25001015200,1053,140,97.6,2.4
25001015300,1541,167,81.8,6.2
25001990000,0,12,-,**
25003900100,1827,133,72.4,6.8
25003900200,2133,136,88,4.5
25003900300,1189,96,83.9,6.8
25003900400,2148,136,88.8,5.1
25003900500,1388,101,89.3,4.3
25003900600,1561,155,80.1,6
25003900700,1168,94,86,6.5
25003900800,1984,129,91,4.4
25003900900,2105,169,86.7,6.5
25003901100,1605,66,83.4,4.2
25003911100,1212,88,96.9,2.6
25003912100,3044,197,90.1,3.5
25003913100,2377,159,87.4,5.5
25003914100,2199,180,92.5,2.8
25003920101,1451,124,90.8,4.5
25003920102,858,100,95.5,2.5
25003921300,2037,141,83,7.6
25003921400,713,77,79.2,8
25003921500,1260,108,83.7,6.1
25003922100,1319,112,82.6,7
25003922200,1642,113,86.5,4.4
25003922300,869,70,90.1,3.8
25003923100,1435,129,88.6,5.8
25003924100,913,98,87,5.3
25003925100,2830,245,88.9,5
25003926100,1384,95,83.8,7.1
25003931100,697,37,89.5,3.9
25003931300,617,41,88.2,3.7
25003931400,724,46,89.2,4.1
25003932200,1043,65,92.5,2.6
25003932300,831,66,91.2,4.5
25003933200,564,53,91.7,3.4
25003933300,602,64,88,6.3
25003933400,1044,86,88.3,3.5
25003934200,495,52,94.3,4.3
25003934300,927,88,94.2,2.3
25003935100,1101,75,91.5,2.4
25003935200,2122,137,87.2,5.2
25003935300,1749,144,80.4,5.4
25005600100,1566,97,90.5,3.8
25005600202,2034,86,92.8,2.9
25005600203,1945,78,99.6,0.6
25005600204,1314,66,98.5,1.5
25005610100,2204,143,94.5,3.6
25005610202,1872,97,97.4,1.9
25005610203,2335,114,94.7,3.8
25005610204,2066,88,96.4,2.9
25005611101,1738,101,92.4,4.2
25005611102,1309,76,93.6,3.1
25005611201,1011,76,97.2,2.4
25005611202,2400,124,91.1,4.4
25005612100,1618,124,93.7,3.4
25005612200,3488,175,95.3,2.6
25005613100,2710,113,90.6,4.9
25005613300,2731,87,88.1,5.6
25005613400,1220,106,94.6,3.8
25005613600,1560,96,83.4,4.9
25005613700,1793,111,84.5,5.5
25005613800,2206,157,78.2,7.6
25005613901,1133,94,80.2,6.5
25005613902,1929,89,84.3,5.5
25005614000,1812,102,85.7,4.8
25005614101,2643,140,88.9,5.2
25005614102,2447,155,95.1,3.4
25005615100,2709,149,89.9,5.3
25005616100,2342,97,93.6,3.1
25005617101,1732,98,93.9,2.7
25005617102,1591,100,89.8,4.4
25005630101,1269,103,90,6.1
25005630102,1892,103,90.2,3.3
25005630200,2665,128,95.4,2.6
25005630300,3007,149,92.5,2.9
25005630400,2021,108,97.2,1.7
25005631100,3219,229,89.1,4.3
25005631200,2856,152,93.5,3.4
25005631300,2037,158,90.1,6.2
25005631400,1157,117,79.2,7.6
25005631500,1162,100,96,2.5
25005631600,1453,125,90,4.5
25005631700,2414,147,90.9,4.5
25005631800,3080,154,88.9,4.2
25005632100,2615,121,91.2,4.5
25005632200,3389,136,90.6,4.3
25005633100,1908,113,91.5,4.1
25005633200,2206,143,94.5,3.1
25005640100,2053,147,84.2,6.1
25005640200,2832,158,75.5,7.2
25005640300,1625,84,86.2,4.4
25005640400,1135,97,79.8,6.8
25005640500,2356,212,75.5,8
25005640600,1835,149,81.2,6.6
25005640700,1212,92,78.1,6.4
25005640800,1347,103,90.6,4.5
25005640901,2127,172,77.8,7.8
25005641000,1235,93,67.6,7.7
25005641101,1004,94,56.4,8.8
25005641200,1437,84,73.3,6.2
25005641300,2500,145,80.9,9.4
