municipal,Population,Weighted Score,General Score,Community Subtype,Percent in Poverty Score,Low Income Score,Population of Color Score,Foreign Born Score,COVID Case Rate Score,Unemployment Rate Score,Income Score,Demographics Score,COVID Impact Score
Chelsea,40160,1.00,1.00,Metro Core Community,1.00,0.76,1.00,1.00,1.00,0.72,1.00,1.00,1.00
Everett,46880,0.82,0.82,Metro Core Community,0.82,0.72,0.71,0.89,0.81,0.64,0.87,0.80,0.83
Randolph,34398,0.65,0.65,Mature Suburb,0.49,0.51,0.84,0.71,0.51,0.72,0.56,0.77,0.67
Methuen,50698,0.56,0.53,Sub-Regional Urban Center,0.62,0.40,0.48,0.43,0.63,0.62,0.58,0.45,0.69
Southbridge,16931,0.50,0.47,Sub-Regional Urban Center,0.43,0.67,0.47,0.10,0.47,0.73,0.62,0.29,0.66
Saugus,28385,0.43,0.38,Mature Suburb,0.36,0.36,0.20,0.28,0.62,0.62,0.40,0.24,0.68
Marlborough,39825,0.43,0.42,Sub-Regional Urban Center,0.33,0.43,0.35,0.53,0.52,0.47,0.43,0.44,0.52
Gardner,20719,0.43,0.38,Sub-Regional Urban Center,0.39,0.62,0.20,0.13,0.49,0.62,0.57,0.17,0.60
Amherst,39503,0.43,0.47,Sub-Regional Urban Center,0.96,0.57,0.38,0.37,0.27,0.33,0.87,0.37,0.26
West Springfield,28747,0.42,0.40,Sub-Regional Urban Center,0.45,0.52,0.27,0.34,0.40,0.57,0.54,0.30,0.51
Winthrop,18688,0.42,0.37,Streetcar Suburb,0.25,0.50,0.16,0.35,0.55,0.59,0.42,0.25,0.63
Stoughton,28950,0.40,0.39,Mature Suburb,0.28,0.41,0.35,0.45,0.43,0.56,0.38,0.40,0.52
Webster,17027,0.39,0.35,Sub-Regional Urban Center,0.20,0.60,0.22,0.17,0.46,0.64,0.44,0.19,0.60
Woburn,40397,0.38,0.36,Sub-Regional Urban Center,0.31,0.37,0.29,0.43,0.45,0.50,0.38,0.36,0.49
Tisbury,4111,0.38,0.34,Maturing New England Town,0.05,0.67,0.17,0.31,0.30,0.73,0.40,0.24,0.55
Provincetown,2960,0.37,0.32,Sub-Regional Urban Center,0.04,0.69,0.13,0.21,0.09,1.00,0.41,0.17,0.59
Milford,29105,0.37,0.35,Sub-Regional Urban Center,0.34,0.41,0.29,0.35,0.43,0.49,0.42,0.32,0.47
Norwood,29327,0.37,0.35,Sub-Regional Urban Center,0.31,0.35,0.27,0.41,0.42,0.51,0.37,0.34,0.48
Holbrook,11048,0.36,0.33,Mature Suburb,0.10,0.50,0.29,0.31,0.40,0.62,0.33,0.30,0.54
Clinton,14022,0.35,0.31,Sub-Regional Urban Center,0.14,0.43,0.27,0.25,0.49,0.54,0.31,0.26,0.55
Braintree,37250,0.35,0.32,Mature Suburb,0.23,0.33,0.25,0.33,0.46,0.54,0.31,0.29,0.53
Avon,4519,0.35,0.31,Mature Suburb,0.06,0.32,0.36,0.32,0.46,0.59,0.21,0.34,0.56
Wareham,22666,0.34,0.31,Maturing New England Town,0.34,0.59,0.22,0.09,0.28,0.60,0.52,0.15,0.45
Nantucket,11327,0.34,0.28,Maturing New England Town,0.13,0.31,0.19,0.22,0.51,0.61,0.24,0.21,0.61
Dracut,31747,0.33,0.29,Maturing New England Town,0.31,0.31,0.20,0.20,0.47,0.50,0.35,0.20,0.51
Fairhaven,16094,0.32,0.27,Maturing New England Town,0.16,0.34,0.13,0.19,0.53,0.54,0.27,0.16,0.58
Shirley,7649,0.32,0.28,Maturing New England Town,0.05,0.35,0.35,0.18,0.50,0.52,0.22,0.27,0.54
