municipal,muni_id,Population,Type,Community Subtype,Percent in Poverty Score,Low Income Score,Population of Color Score,People of Color in Poverty Score,Foreign Born Score,COVID Case Rate Score,Overcrowding Score,Unemployment Rate Score,School-Aged Population Score,General Score,Income Score,Demographics Score,COVID Impact Score,Frontline Workers (%),Weighted Score,Cases per 100k (est),Percent in Poverty,Unemployment Rate (%),Low-Income Households (%),Overcrowded Homes (%),People of Color (%),Foreign-Born (%),entitlement,Estimated Aid
Abington,1,16516,Other,Maturing New England Town,0.004726862,0.240058267,0.123743865,0.052601156,0.184880031,0.377068993,0.145766831,0.533707865,0.511715401,0.209503599,0.155317029,0.160941034,0.399746999,,0.231325822,8779.365464,3.74,9.9,29.83,1.289566237,10.59,8.420085732,FALSE,1644391
Acton,2,23738,Other,Established Suburb/Cape Cod Town,0.006556866,0.146394756,0.383617668,0.038733032,0.576300842,0.127944768,0.124286775,0.303370787,0.763823161,0.228081209,0.096763345,0.50057782,0.135523742,25,0.190971259,3315.359339,3.6,5.8,23.4,1.099537037,32.83,26.24676372,FALSE,6923487
Acushnet,3,10580,Other,Maturing New England Town,0.003987073,0.21019665,0.128184155,0.051130435,0.23437862,0.483142478,0.457286681,0.511235955,0.449898049,0.234337059,0.13580536,0.189069053,0.445818456,,0.258540145,11105.86011,4.9,9.5,27.78,4.04551201,10.97,10.67442526,FALSE,1048215
Adams,4,8077,Other,Maturing New England Town,0.008075381,0.59796067,0.042182753,0.213559322,0.091084574,0.11339138,0.056967519,0.561797753,0.489170338,0.197963769,0.385653138,0.069496179,0.269918469,,0.211769816,2996.161941,12.69,10.4,54.4,0.50397878,3.61,4.148311307,FALSE,2343721
Agawam,5,28854,Other,Maturing New England Town,0.017568041,0.404515659,0.124912363,0.119362187,0.162477706,0.332319398,0.20808265,0.466292135,0.573540348,0.219697952,0.268363836,0.149868028,0.337934529,39,0.234566425,7797.878977,8.07,8.7,41.12,1.840860215,10.69,7.399805177,FALSE,8372146
Alford,6,491,Other,Rural Town,0.00022583,0.293517844,0.083313858,0,0.093878016,0,0.054474965,0.185393258,0.374331948,0.021902465,0.18653334,0.092401929,0,,0.008304821,509.1649695,6.89,3.7,33.5,0.481927711,7.13,4.275534442,FALSE,142789
Amesbury,7,17569,Other,Sub-Regional Urban Center,0.008316785,0.361981063,0.094297733,0.103851641,0.085791344,0.226436002,0.087637039,0.438202247,0.628607291,0.151643325,0.235344815,0.093912761,0.26410405,,0.164635937,5475.553532,6.23,8.2,38.2,0.775305097,8.07,3.907239038,FALSE,5129852
Amherst,8,39503,Other,Sub-Regional Urban Center,0.0554063,0.568973052,0.346576303,0.226365796,0.365757037,0.244671181,0.131201979,0.308988764,0.259789952,0.308472984,0.397348954,0.371467231,0.202945728,39,0.286422941,5875.503126,30.42,5.9,52.41,1.160714286,29.66,16.65785964,FALSE,11681738
Andover,9,36403,Other,Maturing New England Town,0.010917728,0.123379461,0.267001636,0.074517517,0.375024923,0.264603076,0.115077245,0.348314607,0.753335709,0.192099946,0.084869148,0.334803686,0.235601695,28,0.181324339,6312.666538,4.09,6.6,21.82,1.018062397,22.85,17.0799517,FALSE,10637743
Arlington,10,45624,Entitlement,Streetcar Suburb,0.018728342,0.260742899,0.274246319,0.109420427,0.428615987,0.139876882,0.17208307,0.308988764,0.575621719,0.201843407,0.177433136,0.366528281,0.14519531,26,0.177360376,3577.064703,5.36,5.9,31.25,1.522380059,23.47,19.5206769,TRUE,36793673
Ashburnham,11,6346,Other,Country Suburb,0.001580812,0.137654771,0.057723767,0.312621359,0.049511283,0.225373662,0,0.421348315,0.638678434,0.076907142,0.088017902,0.05592088,0.254230687,,0.094562299,5452.253388,3.3,7.9,22.8,0,4.94,2.25491764,FALSE,1857421
Ashby,12,3234,Other,Rural Town,0.001152513,0.373051712,0.065786399,0.030939227,0.099711528,0.185439176,0.312193428,0.41011236,0.607348367,0.133118735,0.237835548,0.086303775,0.226031497,,0.142847582,4576.376005,4.65,7.7,38.96,2.761904762,5.63,4.541213064,FALSE,941877
Ashfield,13,1734,Other,Rural Town,0.001012343,0.289002185,0.062280907,0.290243902,0.055641583,0.04777893,0.179918179,0.297752809,0.354653996,0.044460372,0.18415561,0.061494161,0.088249689,,0.043000117,1557.093426,8.49,5.7,33.19,1.591695502,5.33,2.53411306,FALSE,502393
Ashland,14,17739,Other,Established Suburb/Cape Cod Town,0.004999416,0.221849964,0.25636831,0.061343013,0.4672239,0.311432055,0.033616521,0.387640449,0.640552102,0.252540645,0.143881071,0.377338501,0.283080203,,0.241816556,7339.759851,3.66,7.3,28.58,0.29739777,21.94,21.27901684,FALSE,5210317
Athol,15,11753,Other,Maturing New England Town,0.012662072,0.584268026,0.096401028,0.530984456,0.089398202,0.209544724,0.082853284,0.516853933,0.555306967,0.219940085,0.379847119,0.096890489,0.298139198,,0.234150718,5105.079554,14.1,9.6,53.46,0.732984293,8.25,4.071507998,FALSE,3432776
Attleboro,16,45117,Entitlement,Sub-Regional Urban Center,0.030393646,0.336635106,0.196073849,0.104681648,0.214552682,0.3397805,0.144658593,0.528089888,0.623655944,0.251614451,0.233260416,0.214133316,0.376101947,39,0.264823299,7961.522264,8.87,9.8,36.46,1.279761905,16.78,9.771482446,TRUE,10850934
Auburn,17,16782,Other,Maturing New England Town,0.004617841,0.314639476,0.101425567,0.092105263,0.159598647,0.365290727,0.006918779,0.426966292,0.556931251,0.188221191,0.202801016,0.136118775,0.334432661,,0.204956657,8521.034442,3.59,8,34.95,0.061208875,8.68,7.268682739,FALSE,4905721
Avon,18,4519,Other,Mature Suburb,0.003558774,0.323379461,0.3261276,0.11638689,0.322839789,0.410626592,0,0.556179775,0.52999498,0.320627265,0.207698423,0.338423186,0.430623942,,0.32802785,9515.379509,10.24,10.3,35.55,0,27.91,14.70325747,FALSE,448784
Ayer,19,8164,Other,Maturing New England Town,0.006883931,0.448361253,0.178663239,0.029545455,0.24233141,0.397315075,0.046339611,0.471910112,0.496275605,0.274822436,0.289507829,0.219540077,0.376848555,,0.286803183,9223.419892,11.03,8.8,44.13,0.409956076,15.29,11.03662322,FALSE,2398145
Barnstable,20,44460,Entitlement,Established Suburb/Cape Cod Town,0.029770665,0.456372906,0.16090208,0.112670054,0.311066935,0.294074739,0.112707567,0.573033708,0.501351153,0.293343433,0.309208857,0.246122164,0.375682054,46,0.302396212,6959.064327,8.69,10.6,44.68,0.997098391,13.77,14.16708038,TRUE,7132724
Barre,21,5592,Other,Country Suburb,0.002593155,0.374217043,0.063916803,0.133993399,0.078885141,0.19529584,0.323799757,0.47752809,0.65161243,0.146397668,0.239497135,0.074468285,0.268615045,,0.161650739,4792.560801,6.17,8.9,39.04,2.864583333,5.47,3.592706265,FALSE,1632119
Becket,22,1730,Other,Rural Town,0.001051279,0.34624909,0.096751577,0,0.076772814,0.116465392,0.045214221,0.573033708,0.43006993,0.150551583,0.220681462,0.090489412,0.277804457,,0.165498656,3063.583815,7.3,10.6,37.12,0.4,8.28,3.496503497,FALSE,502101
Bedford,23,14195,Other,Established Suburb/Cape Cod Town,0.003558774,0.174654042,0.279504557,0.072506659,0.386260843,0.221536222,0.341530419,0.353932584,0.780668183,0.199114309,0.112870059,0.347183005,0.214964234,,0.184624096,5368.087355,3.32,6.7,25.34,3.021442495,23.92,17.59167493,FALSE,4132381
Belchertown,24,15134,Other,Country Suburb,0.006105206,0.316678806,0.077821921,0.245737212,0.114574974,0.200927673,0.070521289,0.421348315,0.674652987,0.133630365,0.205049661,0.100331036,0.240758903,,0.144014427,4916.082992,5.28,7.9,35.09,0.623885918,6.66,5.218146589,FALSE,4417666
Bellingham,25,17182,Other,Maturing New England Town,0.004516606,0.265404224,0.090792241,0.001059002,0.143360687,0.228874739,0.09798196,0.45505618,0.660051569,0.145368607,0.171343728,0.122105951,0.274735925,,0.157682074,5529.042021,3.45,8.5,31.57,0.866824271,7.77,6.529149036,FALSE,1703781
Belmont,26,26330,Other,Streetcar Suburb,0.011205856,0.198543336,0.302173405,0.160866983,0.537480448,0.152891581,0.086770029,0.325842697,0.752721461,0.224354447,0.132977872,0.437862268,0.161655423,25,0.195416843,3862.514242,5.58,6.2,26.98,0.767634855,25.86,24.47874669,FALSE,7641526
Berkley,27,6802,Other,Country Suburb,0.000973407,0.258849235,0.032717925,0.007486631,0.085803016,0.387007883,0.292333323,0.5,0.707286832,0.163330132,0.164905053,0.061806241,0.386648307,,0.193092064,8997.353719,1.88,9.3,31.12,2.586206897,2.8,3.907770624,FALSE,675889
Berlin,28,3220,Other,Country Suburb,0.00102013,0.215440641,0.042416452,0,0.134088701,0.221745198,0.040012585,0.359550562,0.655295802,0.09573306,0.137257221,0.092043818,0.218175372,,0.10551451,5372.670807,4.2,6.8,28.14,0.353982301,3.63,6.106870229,FALSE,948022
Bernardston,29,2114,Other,Rural Town,0.001354982,0.426656956,0.01308717,0.182608696,0.01498773,0.067368787,0.062107446,0.460674157,0.614700146,0.098024636,0.272143721,0.014640485,0.188828619,,0.110228493,1986.754967,8.54,8.6,42.64,0.549450549,1.12,0.682593857,FALSE,611533
Beverly,30,42312,Other,Sub-Regional Urban Center,0.024693377,0.412964312,0.115096985,0.112013619,0.161898266,0.309643393,0.135809812,0.438202247,0.487987048,0.209111772,0.278293919,0.144447344,0.309958279,38,0.221451841,7300.529401,8.23,8.2,41.7,1.201478743,9.85,7.373415447,FALSE,12340086
Billerica,31,43784,Other,Established Suburb/Cape Cod Town,0.012311646,0.215149308,0.188011218,0.051342766,0.261429588,0.312927361,0.196898046,0.45505618,0.5290023,0.205021604,0.144271015,0.234374165,0.321055945,34,0.211840572,7372.556185,3.79,8.5,28.12,1.741912549,16.09,11.90642134,FALSE,12689158
Blackstone,32,9326,Other,Maturing New England Town,0.00266324,0.353532411,0.081911662,0.071296296,0.088103571,0.23442926,0.081223151,0.488764045,0.703398767,0.159626844,0.226353156,0.088659458,0.296372781,,0.176596156,5650.86854,3.71,9.1,37.62,0.718562874,7.01,4.012545966,FALSE,2717663
Blandford,33,1260,Other,Rural Town,0.000467235,0.246904588,0.022785698,0,0.055965229,0.13961991,0.031841,0.421348315,0.411480459,0.075490217,0.156966324,0.041066993,0.206973201,,0.088682811,3571.428571,5.1,7.9,30.3,0.281690141,1.95,2.548853016,FALSE,366334
Bolton,34,5376,Other,Country Suburb,0.000584044,0.093226511,0.090558542,0.075862069,0.126642886,0.127746553,0,0.292134831,0.851556532,0.039217899,0.059054588,0.113266091,0.129222558,,0.038843998,3311.011905,1.43,5.6,19.75,0,7.75,5.76776165,FALSE,1587644
Boston,35,694583,Entitlement,Metro Core Community,1,0.569555717,0.648399159,0.305820375,0.626852337,0.371712751,0.35817618,0.516853933,0.424167857,0.736456022,1,0.665017507,0.387507337,39,0.697155561,8661.88778,20.18,9.6,52.45,3.168703782,55.49,28.54905632,TRUE,569007913
Bourne,36,19872,Other,Established Suburb/Cape Cod Town,0.007833976,0.365185725,0.113694789,0.051475919,0.086327332,0.218152872,0.179936904,0.550561798,0.534160933,0.18107296,0.237080287,0.104307434,0.321458858,40,0.199006763,5293.880837,5.21,10.2,38.42,1.591861161,9.73,3.931649781,FALSE,1949631
Boxborough,37,6388,Other,Country Suburb,0.002445197,0.23219228,0.340266417,0.058091286,0.466880472,0.101689742,0.104905384,0.314606742,0.643499741,0.208085884,0.148846816,0.420910553,0.127246978,,0.176965924,2739.511584,5.42,6,29.29,0.928074246,29.12,21.26337591,FALSE,1695028
Boxford,38,8367,Other,Country Suburb,0.001316046,0.017625637,0.084482356,0,0.120006955,0.235078716,0,0.331460674,0.795707376,0.052936805,0.011317673,0.106636983,0.210043379,,0.062256358,5665.112944,2.04,6.3,14.56,0,7.23,5.465538089,FALSE,2437938
Boylston,39,4688,Other,Country Suburb,0.00133162,0.160670066,0.066838046,0.032061069,0.144750524,0.233541587,0,0.370786517,0.660342993,0.096582215,0.102533729,0.110339101,0.230868119,,0.106428701,5631.399317,3.75,7,24.38,0,5.72,6.592447064,FALSE,1378728
Braintree,40,37250,Other,Mature Suburb,0.013394074,0.332847779,0.227856976,0.094542448,0.332716171,0.40897679,0.137858241,0.516853933,0.667467647,0.2950676,0.220006544,0.292327402,0.408042937,34,0.30433749,9479.194631,4.7,9.6,36.2,1.219600726,19.5,15.1530626,FALSE,3669000
Brewster,41,9806,Other,Established Suburb/Cape Cod Town,0.00376903,0.397378004,0.049777986,0,0.06875477,0.156258733,0.105640702,0.47752809,0.458850578,0.137348153,0.255014471,0.061812401,0.247102336,,0.15135388,3936.365491,5.09,8.9,40.63,0.934579439,4.26,3.131333604,FALSE,964358
Bridgewater,42,27395,Other,Maturing New England Town,0.016376592,0.283321194,0.206122926,0.125693008,0.113243333,0.385039831,0.114756905,0.47752809,0.499321322,0.21355494,0.190329723,0.166542956,0.373179845,43,0.23159329,8954.188721,9.31,8.9,32.8,1.015228426,17.64,5.157498996,FALSE,2724768
Brimfield,43,3772,Other,Rural Town,0.000833236,0.291041515,0.085300304,0.097435897,0.073405405,0.190732369,0.189022661,0.421348315,0.610641214,0.116261244,0.185341701,0.082761773,0.235140438,,0.128011186,4692.470838,2.88,7.9,33.33,1.672240803,7.3,3.343139877,FALSE,1076766
Brockton,44,95777,Entitlement,Major Regional Urban Center,0.11418448,0.626365623,0.767585885,0.237014468,0.650316886,0.55422195,0.345518892,0.747191011,0.711181963,0.672941789,0.471420236,0.739407221,0.615020146,54,0.657617162,12664.83603,15.61,13.7,56.35,3.056727614,65.69,29.61771425,TRUE,35646721
Brookfield,45,3458,Other,Maturing New England Town,0.001977962,0.418645302,0.109020799,0.69125,0.111353026,0.220707597,0,0.45505618,0.624007214,0.175268458,0.267432652,0.114920431,0.270235146,,0.186447074,5349.913245,7.46,8.5,42.09,0,9.33,5.071407753,FALSE,1010053
Brookline,46,59310,Entitlement,Streetcar Suburb,0.053428338,0.295557174,0.355456882,0.214930344,0.62400742,0.125996822,0.190943061,0.280898876,0.522372075,0.272472477,0.221755921,0.51077055,0.12206636,28,0.231237393,3272.635306,11.89,5.4,33.64,1.689230148,30.42,28.41948881,TRUE,34211476
Buckland,47,1875,Other,Rural Town,0.001510727,0.446467589,0.093713484,0.603921569,0.112777171,0.054598526,0,0.292134831,0.44521423,0.101989235,0.284874423,0.107680643,0.088911881,,0.094785716,1706.666667,10.19,5.6,44,0,8.02,5.136268344,FALSE,541309
Burlington,48,28742,Other,Mature Suburb,0.008168828,0.26394756,0.308249591,0.060025221,0.487600288,0.242492051,0.224363986,0.353932584,0.576583808,0.255995348,0.172743631,0.415019393,0.226512647,33,0.235406186,5827.70858,3.88,6.7,31.47,1.984897519,26.38,22.20702908,FALSE,8376243
Cambridge,49,118977,Entitlement,Metro Core Community,0.101779387,0.367225055,0.458050946,0.189855104,0.632789058,0.153945284,0.23126814,0.269662921,0.30589823,0.33008809,0.298280828,0.568850695,0.131276349,22,0.283205575,3885.624953,13.18,5.2,38.56,2.045977011,39.2,28.81943544,TRUE,87893020
Canton,50,23629,Other,Established Suburb/Cape Cod Town,0.009002064,0.280844865,0.237789203,0.102613129,0.33171869,0.298829707,0.082415153,0.443820225,0.632705109,0.241507993,0.184048748,0.296986689,0.307095009,31,0.240359287,7063.354353,5.06,8.3,32.63,0.729108245,20.35,15.10763379,FALSE,2348495
Carlisle,51,5247,Other,Country Suburb,0.00119145,0,0.17375555,0.054474708,0.31711939,0.106258519,0,0.292134831,0.793801822,0.076272514,0,0.255981216,0.117380856,,0.061917691,2839.717934,2.95,5.6,13.35,0,14.87,14.44273043,FALSE,1536732
Carver,52,11777,Other,Maturing New England Town,0.005108437,0.383248361,0.091843889,0.068777293,0.080213469,0.208683249,0.025146953,0.505617978,0.636504695,0.165504627,0.246859328,0.089724384,0.291472503,,0.181575422,5086.184937,5.64,9.4,39.66,0.22246941,7.86,3.653202984,FALSE,1160880
Charlemont,53,1245,Other,Rural Town,0.001207024,0.512163146,0.072329984,0.38,0.068008484,0.03171745,0.206054391,0.533707865,0.56465708,0.152597469,0.326568726,0.073183633,0.209429431,,0.160603293,1204.819277,13.83,9.9,48.51,1.822916667,6.19,3.097345133,FALSE,360775
Charlton,54,13697,Other,Country Suburb,0.003916988,0.264530226,0.083313858,0.023309053,0.083222368,0.260393578,0.05610865,0.398876404,0.65145889,0.123597625,0.17040414,0.086845227,0.261145687,,0.13786902,6220.34022,3.77,7.5,31.51,0.496380558,7.13,3.790238837,FALSE,4012415
Chatham,55,6160,Other,Established Suburb/Cape Cod Town,0.004220691,0.403204661,0.086585651,0.217982456,0.138413089,0.178108094,0.040733532,0.511235955,0.307874695,0.176431251,0.259017571,0.117332229,0.277719011,,0.1882757,4415.584416,9.02,9.5,41.03,0.36036036,7.41,6.303818034,FALSE,590157
