City,bucket_start,bucket_end,frequency
BOSTON,0,5,36377
BOSTON,5,10,16003
BOSTON,10,15,12529
BOSTON,15,20,9998
BOSTON,20,25,9086
BOSTON,25,30,9496
BOSTON,30,35,6317
BOSTON,35,40,4880
BOSTON,40,45,4791
BOSTON,45,50,3884
BOSTON,50,55,3488
BOSTON,55,60,3448
BOSTON,60,65,3076
BOSTON,65,70,2802
BOSTON,70,75,2826
BOSTON,75,80,2781
BOSTON,80,85,3049
BOSTON,85,90,3091
BOSTON,90,95,4430
BOSTON,95,100,2331
BOSTON,100,105,2179
BOSTON,105,110,1959
BOSTON,110,115,2483
BOSTON,115,120,2324
BOSTON,120,125,1343
BOSTON,125,130,1251
BOSTON,130,135,1329
BOSTON,135,140,1248
BOSTON,140,145,1192
BOSTON,145,150,1207
BOSTON,150,155,1168
BOSTON,155,160,1080
BOSTON,160,165,1049
BOSTON,165,170,1120
BOSTON,170,175,1242
BOSTON,175,180,1128
BOSTON,180,185,1048
BOSTON,185,190,1135
BOSTON,190,195,1072
BOSTON,195,200,1137
BOSTON,200,205,1226
BOSTON,205,210,1250
BOSTON,210,215,1296
BOSTON,215,220,1308
BOSTON,220,225,1477
BOSTON,225,230,1466
BOSTON,230,235,1790
BOSTON,235,240,1193
BOSTON,240,245,1307
BOSTON,245,250,1252
BOSTON,250,255,873
BOSTON,255,260,728
BOSTON,260,265,651
BOSTON,265,270,606
BOSTON,270,275,639
BOSTON,275,280,688
BOSTON,280,285,682
BOSTON,285,290,759
BOSTON,290,295,738
BOSTON,295,300,782
BOSTON,300,305,891
BOSTON,305,310,874
BOSTON,310,315,718
BOSTON,315,320,648
BOSTON,320,325,588
BOSTON,325,330,476
BOSTON,330,335,461
BOSTON,335,340,457
BOSTON,340,345,467
BOSTON,345,350,702
BOSTON,350,355,687
BOSTON,355,360,217
BOSTON,360,365,208
BOSTON,365,370,207
BOSTON,370,375,179
BOSTON,375,380,168
BOSTON,380,385,169
BOSTON,385,390,165
BOSTON,390,395,178
BOSTON,395,400,162
BOSTON,400,405,155
BOSTON,405,410,154
BOSTON,410,415,158
BOSTON,415,420,124
BOSTON,420,425,132
BOSTON,425,430,159
BOSTON,430,435,139
BOSTON,435,440,128
BOSTON,440,445,115
BOSTON,445,450,114
BOSTON,450,455,121
BOSTON,455,460,122
BOSTON,460,465,110
BOSTON,465,470,103
BOSTON,470,475,133
BOSTON,475,480,139
BOSTON,480,485,148
BOSTON,485,490,169
BOSTON,490,495,168
BOSTON,495,500,119
BOSTON,500,505,122
BOSTON,505,510,134
BOSTON,510,515,154
BOSTON,515,520,174
BOSTON,520,525,179
BOSTON,525,530,136
BOSTON,530,535,123
BOSTON,535,540,85
BOSTON,540,545,60
BOSTON,545,550,68
BOSTON,550,555,47
BOSTON,555,560,38
BOSTON,560,565,51
BOSTON,565,570,42
BOSTON,570,575,51
BOSTON,575,580,38
BOSTON,580,585,37
BOSTON,585,590,53
BOSTON,590,595,41
BOSTON,595,600,39
BOSTON,600,605,35
BOSTON,605,610,31
BOSTON,610,615,24
BOSTON,615,620,29
BOSTON,620,625,23
BOSTON,625,630,30
BOSTON,630,635,29
BOSTON,635,640,44
BOSTON,640,645,38
BOSTON,645,650,32
BOSTON,650,655,22
BOSTON,655,660,33
BOSTON,660,665,28
BOSTON,665,670,27
BOSTON,670,675,21
BOSTON,675,680,27
BOSTON,680,685,31
BOSTON,685,690,30
BOSTON,690,695,44
BOSTON,695,700,27
BOSTON,700,705,29
BOSTON,705,710,20
BOSTON,710,715,20
BOSTON,715,720,25
BOSTON,720,725,23
BOSTON,725,730,14
BOSTON,730,735,20
BOSTON,735,740,21
BOSTON,740,745,16
BOSTON,745,750,18
BOSTON,750,755,12
BOSTON,755,760,13
BOSTON,760,765,11
BOSTON,765,770,13
BOSTON,770,775,13
BOSTON,775,780,12
BOSTON,780,785,14
