ct10_id,class,hdens10,mhi,incu35_p,inc3574_p,inc7599_p,inc100o_p,inc150o_p,medconr,medhv,rhu_p,bizbuy17_p,fd17_p,cash17_p,resihomes_pch,vacu_p,bdrm3o_p,yrblt59_p,yrblt6099_p,yrblt00_p,hudp_hu,u1_p,u2_4_p,u5ov_p,ch_medhv_p,ch_medcr_p,ch_rhu_p,ch_totpop_p,ch_hdens_p
25009201100,4,1649.8,81384,16.6,31.5,8,43.9,29.1,1156,482000,29.5,13.7,5.9,19.6,-13.9,7.7,58.1,75.3,22.3,2.4,0,70.2,13.3,16.5,29.3,2.5,-7.8,-3.8,20.6
25009202101,4,1454.3,114783,11.6,19.8,9.8,58.7,41.3,1057,530000,16.9,0,0,21.2,4.7,7.9,77.2,78.2,18.8,3,0,71.7,23.1,3.4,18.9,-12.9,-39.1,-4.9,168.1
25009202102,4,2295,75160,26.6,23.3,11.3,38.8,18.6,1369,337500,33.9,15.4,2.4,30.9,-10,6.1,47.9,55.7,42.1,2.2,0,49.2,26.1,24.8,6.7,12.9,22.1,9.2,51.1
25009202200,5,1752,135833,11.9,12.2,12.5,63.4,40,1426,606000,10.9,13,3,13,1.2,4,80.7,82.7,16.1,1.2,0,78.8,16.1,3.3,-2.1,6,-36.3,-3.1,1.9
25009203100,5,1776.8,148750,6.6,11.3,11.2,70.9,48.9,2018,595000,4.5,10.8,0.8,18.3,-6.1,5.9,91.6,75.3,21.5,3.2,0,94.7,4.7,0.6,10.6,55.3,-51.6,-0.4,2.5
25009203200,4,1474.6,97500,11.4,25.9,15.3,47.4,33.8,1093,661000,15.9,18.2,1,25.3,-9.3,5.1,69.3,73.1,23.2,3.7,0,77.8,15.9,6.4,17.3,9.4,-20.7,0.2,0.6
25009203301,4,2830.2,76513,21.4,27.4,12.4,38.8,24.6,1208,525000,28,18.3,6.1,26.8,1.2,7.5,56.6,71.6,27.1,1.3,0,66.6,28.6,4.9,34.6,0.3,-22.5,-3,120.5
25009203302,4,2440.4,95729,21.2,18.1,12,48.8,31,1495,635500,33.9,18.2,1.1,26.1,-7.9,8.7,56.8,72,22.5,5.6,0,64.2,26.3,9.5,33.3,24.1,-5.9,3.9,85.4
25009204101,3,4034.5,59650,32.8,26.8,9.1,31.3,13.2,986,325000,46.5,10.1,5.6,20.2,-3.7,7.8,41.9,86.2,11.8,2,0,31,57.2,11.8,12.5,-0.3,-17.1,-5.9,1.3
25009204102,6,1859,67599,25.4,32.1,14,28.5,15.1,989,325000,32.9,6.5,3.9,14.3,2.4,3.1,38,41.8,55.9,2.3,0,54.2,14.9,29.9,3.6,22.5,28.9,25.7,6.5
