seq_id,muni_id,municipal,geoid,logrecno,acs_year,mhi,mhi_me,o_mhi,o_mhi_me,r_mhi,r_mhi_me
2929,1,Abington,06000US2502300170,292,2013-17,91643,9033,103699,5564,55531,13703
2930,2,Acton,06000US2501700380,207,2013-17,133713,4474,157970,6070,64939,14149
2931,3,Acushnet,06000US2500500520,76,2013-17,69402,5832,80896,12348,37175,11933
2932,4,Adams,06000US2500300555,43,2013-17,49777,2823,64644,2433,28080,9929
2933,5,Agawam,06000US2501300840,164,2013-17,61919,4875,75200,7001,33506,5603
2934,6,Alford,06000US2500300975,44,2013-17,105625,14932,108125,21062,0,0
2935,7,Amesbury,06000US2500901260,104,2013-17,78638,3781,98401,5928,46613,8042
2936,8,Amherst,06000US2501501325,187,2013-17,50203,5829,107476,7101,28290,4975
2937,9,Andover,06000US2500901465,105,2013-17,143292,7925,166513,5843,64386,11810
2938,10,Arlington,06000US2501701605,208,2013-17,103594,4898,136998,5266,69798,7078
2939,11,Ashburnham,06000US2502701885,324,2013-17,85064,15216,88523,16878,61923,23299
2940,12,Ashby,06000US2501701955,209,2013-17,95833,9510,99963,9540,72799,58353
2941,13,Ashfield,06000US2501102095,138,2013-17,72422,8260,78688,6344,48333,7580
2942,14,Ashland,06000US2501702130,210,2013-17,120309,7535,137415,10655,60083,10385
2943,15,Athol,06000US2502702480,325,2013-17,50417,4937,63690,5361,29306,10107
2944,16,Attleboro,06000US2500502690,77,2013-17,70136,5909,92685,4190,37315,2673
2945,17,Auburn,06000US2502702760,326,2013-17,74174,4460,87480,6054,35479,5383
2946,18,Avon,06000US2502102935,263,2013-17,69709,19651,99231,18237,39167,7485
2947,19,Ayer,06000US2501703005,211,2013-17,78762,7154,110863,4448,54112,7817
2948,20,Barnstable,06000US2500103690,28,2013-17,66864,2134,75308,3698,37713,5736
2949,21,Barre,06000US2502703740,327,2013-17,69432,11859,86693,16403,49031,20631
2950,22,Becket,06000US2500304545,45,2013-17,75000,9708,74479,9003,83194,27904
2951,23,Bedford,06000US2501704615,212,2013-17,125208,8323,149500,20312,67222,22475
2952,24,Belchertown,06000US2501504825,188,2013-17,86165,6131,100813,9385,28323,8581
2953,25,Bellingham,06000US2502104930,264,2013-17,95533,4865,105523,9190,49566,7255
2954,26,Belmont,06000US2501705070,213,2013-17,118370,7501,157071,8658,69892,3840
2955,27,Berkley,06000US2500505280,78,2013-17,89597,18137,96011,16842,65165,24552
2956,28,Berlin,06000US2502705490,328,2013-17,97417,13384,105542,8961,0,0
2957,29,Bernardston,06000US2501105560,139,2013-17,64647,2730,70238,5471,36726,7969
2958,30,Beverly,06000US2500905595,106,2013-17,77893,4058,108401,7009,34885,4973
2959,31,Billerica,06000US2501705805,214,2013-17,99453,5218,106414,6112,60057,10235
2960,32,Blackstone,06000US2502706015,329,2013-17,80260,6544,101250,10536,46250,11113
2961,33,Blandford,06000US2501306085,165,2013-17,62875,8015,64821,11554,44583,29198
2962,34,Bolton,06000US2502706365,330,2013-17,151618,10527,154965,10849,0,0
2963,35,Boston,06000US2502507000,320,2013-17,62021,803,104469,1676,42326,1049
2964,36,Bourne,06000US2500107175,29,2013-17,73000,4953,84003,6113,51660,10833
2965,37,Boxborough,06000US2501707350,215,2013-17,101077,7442,124857,35427,68438,21291
2966,38,Boxford,06000US2500907420,107,2013-17,155034,30630,157399,28583,41154,21795
2967,39,Boylston,06000US2502707525,331,2013-17,97074,12278,109621,12108,50885,12487
2968,40,Braintree,06000US2502107740,265,2013-17,88993,3309,101622,4508,48776,8886
2969,41,Brewster,06000US2500107980,30,2013-17,69479,7209,80197,13998,31667,11352
2970,42,Bridgewater,06000US2502308085,293,2013-17,88640,6105,105534,9791,56250,22501
2971,43,Brimfield,06000US2501308470,166,2013-17,86523,8493,92195,9083,21734,12345
2972,44,Brockton,06000US2502309000,294,2013-17,52393,1827,79441,2730,30559,1788
2973,45,Brookfield,06000US2502709105,332,2013-17,64219,12424,66974,12847,55125,17421
2974,46,Brookline,06000US2502109175,266,2013-17,111289,4643,148631,7505,74210,7197
2975,47,Buckland,06000US2501109595,140,2013-17,50899,3834,54620,9864,23750,13301
2976,48,Burlington,06000US2501709840,216,2013-17,99254,8728,114157,9379,84623,5506
2977,49,Cambridge,06000US2501711000,217,2013-17,89145,3825,129801,7731,71850,4415
2978,50,Canton,06000US2502111315,267,2013-17,96583,8758,108903,7084,58530,10088
2979,51,Carlisle,06000US2501711525,218,2013-17,170703,26039,184271,21648,0,0
2980,52,Carver,06000US2502311665,295,2013-17,73904,8846,77533,5821,35568,22665
2981,53,Charlemont,06000US2501112505,141,2013-17,53333,7432,58625,4307,34545,10800
2982,54,Charlton,06000US2502712715,333,2013-17,93921,6727,107292,8062,40500,18122
2983,55,Chatham,06000US2500112995,31,2013-17,74875,13724,89479,6661,33083,8372
2984,56,Chelmsford,06000US2501713135,219,2013-17,106432,4984,119375,7024,55144,17892
2985,57,Chelsea,06000US2502513205,321,2013-17,51839,3611,82212,9643,39652,4765
2986,58,Cheshire,06000US2500313345,46,2013-17,61512,13199,68281,16142,50417,33713
2987,59,Chester,06000US2501313485,167,2013-17,76250,11587,88125,6635,26250,11045
2988,60,Chesterfield,06000US2501513590,189,2013-17,74412,11163,79821,10590,0,0
2989,61,Chicopee,06000US2501313660,168,2013-17,48866,2518,68962,4366,29903,2385
2990,62,Chilmark,06000US2500713800,97,2013-17,79688,11716,79792,21473,79583,33171
2991,63,Clarksburg,06000US2500314010,47,2013-17,61397,2724,64063,6771,0,0
2992,64,Clinton,06000US2502714395,334,2013-17,68362,10147,89821,13555,55474,6372
2993,65,Cohasset,06000US2502114640,268,2013-17,140000,23167,179779,22761,43864,25938
2994,66,Colrain,06000US2501114885,142,2013-17,53352,3881,58214,7639,39773,7851
2995,67,Concord,06000US2501715060,220,2013-17,137743,5971,165208,14945,69183,23610
2996,68,Conway,06000US2501115200,143,2013-17,100398,13917,105000,7314,51989,26422
2997,69,Cummington,06000US2501516040,190,2013-17,52500,11658,61696,13370,31302,5286
2998,70,Dalton,06000US2500316180,48,2013-17,60406,9005,68371,10240,40063,10576
2999,71,Danvers,06000US2500916250,108,2013-17,79795,6515,101672,4893,42198,5211
3000,72,Dartmouth,06000US2500516425,79,2013-17,74742,4361,85807,4742,28811,5998
3001,73,Dedham,06000US2502116495,269,2013-17,89514,6269,115804,7516,51627,9086
3002,74,Deerfield,06000US2501116670,144,2013-17,78949,14791,88424,15712,54671,23680
3003,75,Dennis,06000US2500116775,32,2013-17,56176,4454,69593,5760,30392,5099
3004,76,Dighton,06000US2500516950,80,2013-17,93017,16336,97813,9007,42308,23774
3005,77,Douglas,06000US2502717300,335,2013-17,94675,10119,107454,12490,54038,17000
3006,78,Dover,06000US2502117405,270,2013-17,204018,24403,208371,22184,147600,77564
3007,79,Dracut,06000US2501717475,221,2013-17,86697,8114,101343,7755,45688,12248
3008,80,Dudley,06000US2502717685,336,2013-17,64281,4823,77035,12497,40720,16355
3009,81,Dunstable,06000US2501717825,222,2013-17,138700,14412,138150,13552,152292,57510
3010,82,Duxbury,06000US2502317895,296,2013-17,123613,7481,127011,8971,69342,34723
3011,83,East Bridgewater,06000US2502318455,297,2013-17,86568,6736,96336,10047,39383,3071
3012,84,East Brookfield,06000US2502718560,337,2013-17,80234,9317,82692,10607,63947,20938
3013,85,East Longmeadow,06000US2501319645,169,2013-17,85221,3581,92156,4964,27379,16989
3014,86,Eastham,06000US2500119295,33,2013-17,62143,5453,66926,8008,34762,9217
3015,87,Easthampton,06000US2501519370,191,2013-17,61004,6167,76206,5635,40400,2939
3016,88,Easton,06000US2500520100,81,2013-17,105380,5423,114130,3880,46714,8409
3017,89,Edgartown,06000US2500721150,98,2013-17,75404,21626,85329,25085,58333,18951
3018,90,Egremont,06000US2500321360,49,2013-17,61927,12387,69306,5543,34107,16622
3019,91,Erving,06000US2501121780,145,2013-17,70870,8641,76875,9128,37344,8146
3020,92,Essex,06000US2500921850,109,2013-17,109327,14276,121155,6568,50556,19956
3021,93,Everett,06000US2501721990,223,2013-17,57254,3644,84368,4068,43528,4428
3022,94,Fairhaven,06000US2500522130,82,2013-17,62090,3405,71224,4999,28472,7759
3023,95,Fall River,06000US2500523000,83,2013-17,39328,1951,64194,3285,28302,2739
3024,96,Falmouth,06000US2500123105,34,2013-17,70918,5531,83978,3472,40190,6640
3025,97,Fitchburg,06000US2502723875,338,2013-17,51412,3541,74907,5246,31486,2900
